			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Восстановление	Восстановление	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Восстановление}

Восстанавливает подразделения в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели.
"	"{Основное Восстановление}

Восстанавливает подразделения в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели.
"	"{Продвинутое Восстановление}

Восстанавливает подразделения в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели.

Обеспечивает дополнительные 40 баллов по сравнению с Основным Восстановлением.
"	"{Восстановление Эксперта}

Восстанавливает подразделения в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели.

Обеспечивает дополнительные 120 баллов по сравнению с Основным Восстановлением.
"	 COMBAT_SPELL|CREATURE_TARGET
Поднятие мертвецов	Поднятие мертвецов	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Поднятие мертвецов}

Заново оживляет любого уничтоженного живого мертвеца в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели.
"	"{Основное Поднятие мертвецов}

Заново оживляет любого уничтоженного живого мертвеца в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели.
"	"{Продвинутое Поднятие мертвецов}

Заново оживляет любого уничтоженного живого мертвеца в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели

Обеспечивает дополнительные 30 баллов по сравнению с Основным Поднятием мертвецов.
"	"{Поднятие мертвецов Эксперта}

Заново оживляет любого уничтоженного живого мертвеца в выбранной группе, восстанавливая фиксированное число баллов повреждения у цели

Обеспечивает дополнительные 130 баллов по сравнению с Основным Поднятием мертвецов.
"	 COMBAT_SPELL|CREATURE_TARGET
Жертва	Жертва	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Жертва}

Уничтожает группу дружественных существ, чтобы воскресить мёртвую группу. Число воскрешённых существ зависит от магической силы творящего и здоровья уничтоженной группы.
"	"{Основная Жертва}

Уничтожает группу дружественных существ, чтобы воскресить мёртвую группу. Число воскрешённых существ зависит от магической силы творящего и здоровья уничтоженной группы.
"	"{Продвинутая Жертва}

Уничтожает группу дружественных существ, чтобы воскресить мёртвую группу. Число воскрешённых существ зависит от магической силы творящего и здоровья уничтоженной группы.

Восстанавливает больше здоровья, чем Основная Жертва.
"	"{Жертва эксперта}

Уничтожает группу дружественных существ, чтобы воскресить мёртвую группу. Число воскрешённых существ зависит от магической силы творящего и здоровья уничтоженной группы.

Восстанавливает больше здоровья, чем Продвинутая Жертва.
"	 COMBAT_SPELL|CREATURE_TARGET
Благословление	Благословление	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Благословение}

Вызывает в бою нанесение максимального ущерба выбранным подразделением.
"	"{Основное Благословение}

Вызывает в бою нанесение максимального ущерба выбранным подразделением.
"	"{Продвинутое Благословение}

Вызывает в бою нанесение более чем обычного максимального ущерба выбранным подразделением.
"	"{Благословение Эксперта}

Вызывает в бою нанесение более чем обычного максимального ущерба всеми дружественными подразделениями.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Проклятье	Проклятье	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Проклятье}

Проклятый враг наносит в бою минимальные повреждения.
"	"{Основное Проклятье}

Проклятый враг наносит в бою минимальные повреждения.
"	"{Продвинутое Проклятье}

Проклятый враг наносит в бою минимальные повреждения.
"	"{Проклятье Эксперта}

Все враги наносят в бою минимальные повреждения.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Жажда крови	Жажда крови	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Жажда крови}

Увеличивает прямое повреждение, наносимое выбранным подразделением.
"	"{Основная Жажда крови}

Увеличивает прямое повреждение, наносимое выбранным подразделением.
"	"{Продвинутая Жажда крови}

Увеличивает прямое повреждение, наносимое выбранным подразделением.

Эффект вдвое сильнее, чем для Основной Жажды крови.
"	"{Жажда крови Эксперта}

Увеличивает прямое повреждение, наносимое всеми дружественными подразделениями.

Эффект вдвое сильнее, чем для Основной Жажды крови.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Точность	Точность	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Точность}

Увеличивает повреждение на расстоянии, наносимое выбранным подразделением.
"	"{Основная Точность}

Увеличивает повреждение на расстоянии, наносимое выбранным подразделением.
"	"{Продвинутая Точность}

Увеличивает повреждение на расстоянии, наносимое выбранным подразделением.

Эффект вдвое сильнее, чем для Основной Точности.
"	"{Точность Эксперта}

Увеличивает повреждение на расстоянии, наносимое всеми дружественными подразделениями.

Эффект вдвое сильнее, чем для Основной Точности.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Слабость	Слабость	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Слабость}

Уменьшает силу атаки выбранного вражеского подразделения.
"	"{Основная Слабость}

Уменьшает силу атаки выбранного вражеского подразделения.
"	"{Продвинутая Слабость}

Уменьшает силу атаки выбранного вражеского подразделения.

Эффект вдвое больше, чем для Основной Слабости.
"	"{Слабость Эксперта}

Уменьшает силу атаки всех вражеский подразделений.

Эффект вдвое больше, чем для Основной Слабости.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Каменная кожа	Каменная кожа	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Каменная кожа}

Увеличивает обороноспособность выбранного подразделения.
"	"{Основная Каменная кожа}

Увеличивает обороноспособность выбранного подразделения.
"	"{Продвинутая Каменная кожа}

Увеличивает обороноспособность выбранного подразделения.

Эффект вдвое больше, чем для Основной Каменной кожи.
"	"Каменная кожа Эксперта}

Увеличивает обороноспособность всех дружественных подразделений.

Эффект вдвое больше, чем для Основной Каменной кожи.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Разрушающий луч	Разрушающий луч	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Разрушающий луч}

Уменьшает защитные силы выбранного вражеского подразделения. Отдельный враг может стать целью этого заклинания несколько раз.
"	"{Основной Разрушающий луч}

Уменьшает защитные силы выбранного вражеского подразделения. Отдельный враг может стать целью этого заклинания несколько раз.
"	"{Продвинутый Разрушающий луч}

Уменьшает защитные силы выбранного вражеского подразделения. Отдельный враг может стать целью этого заклинания несколько раз.

Эффект сильнее, чем для Основного Разрушающего луча.
"	"{Разрушающий луч Эксперта}

Уменьшает защитные силы выбранного вражеского подразделения. Отдельный враг может стать целью этого заклинания несколько раз.

Эффект сильнее, чем для Продвинутого Разрушающего луча.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Молитва	Молитва	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Молитва}

Дарует прибавление к силе атаки, обороноспособности и скорости выбранного подразделения.
"	"{Основная Молитва}

Дарует прибавление к силе атаки, обороноспособности и скорости выбранного подразделения.
"	"{Продвинутая Молитва}

Дарует прибавление к силе атаки, обороноспособности и скорости выбранного подразделения.

Эффект вдвое сильнее, чем для Основной Молитвы.
"	"{Молитва Эксперта}

Дарует прибавление к силе атаки, обороноспособности и скорости всех дружественных подразделений.

Эффект вдвое сильнее, чем для Основной Молитвы.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Радость	Радость	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Радость}

Поднимает боевой дух выбранного подразделения.
"	"{Основная Радость}

Поднимает боевой дух выбранного подразделения.
"	"{Продвинутая Радость}

Поднимает боевой дух выбранного подразделения.

Эффект вдвое сильнее, чем для Основной Радости.
"	"{Радость Эксперта}

Поднимает боевой дух всех дружественных подразделений.

Эффект вдвое сильнее, чем для Основной Радости.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Печаль	Печаль	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Печаль}

Снижает боевой дух выбранного вражеского подразделения.
"	"{Основная Печаль}

Снижает боевой дух выбранного вражеского подразделения.
"	"{Продвинутая Печаль}

Снижает боевой дух выбранного вражеского подразделения.

Эффект вдвое сильнее, чем для Основной Печали.
"	"{Печаль Эксперта}

Снижает боевой дух всех вражеских подразделений.

Эффект вдвое сильнее, чем для Основной Печали.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Удача	Удача	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Удача}

Увеличивает удачу выбранного подразделения.
"	"{Основная Удача}

Увеличивает удачу выбранного подразделения.
"	"{Продвинутая Удача}

Увеличивает удачу выбранного подразделения.

Эффект вдвое сильнее, чем для Основной Удачи.
"	"{Удача Эксперта}

Увеличивает удачу всех дружественных подразделений.

Эффект вдвое сильнее, чем для Основной Удачи.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Неудача	Неудача	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Неудача}

Уменьшает удачу выбранного вражеского подразделения.
"	"{Основная Неудача}

Уменьшает удачу выбранного вражеского подразделения.

Цена в баллах заклинания вдвое меньше, чем для Нормальной Неудачи.
"	"{Продвинутая Неудача}

Уменьшает удачу выбранного вражеского подразделения.

Эффект вдвое сильнее, чем для Основной неудачи.
"	"{Неудача Эксперта}

Уменьшает удачу всех вражеский подразделений.

Эффект вдвое сильнее, чем для Основной Неудачи.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Ускорение	Ускорение	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Ускорение}

Увеличивает скорость выбранного подразделения.
"	"{Основное Ускорение}

Увеличивает скорость выбранного подразделения.
"	"{Продвинутое Ускорение}

Увеличивает скорость выбранного подразделения.

Эффект вдвое сильнее, чем для Основного Ускорения.
"	"{Ускорение Эксперта}

Увеличивает скорость всех дружественных подразделений.

Эффект вдвое сильнее, чем для Основного Ускорения.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Медлительность	Медлительность	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Медлительность}

Уменьшает скорость выбранного вражеского подразделения.
"	"{Основная Медлительность}

Уменьшает скорость выбранного вражеского подразделения.
"	"{Продвинутая Медлительность}

Уменьшает скорость выбранного вражеского подразделения.

Эффект вдвое сильнее, чем для Основной Медлительности.
"	"{Медлительность Эксперта}

Уменьшает скорость всех вражеских подразделений.

Эффект вдвое сильнее, чем для Основной Медлительности.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Палач	Палач	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Палач}

Увеличивает степень повреждения, наносимого подразделением, при схватке с Драконами, Чудищами и Гидрами.
"	"{Основной Палач}

Увеличивает степень повреждения, наносимого подразделением, при схватке с Драконами, Чудищами и Гидрами.
"	"{Продвинутый Палач}

Увеличивает степень повреждения, наносимого подразделением, при схватке с Драконами, Чудищами, Гидрами, Дьяволами и Ангелами.
"	"{Палач Эксперта}

Увеличивает степень повреждения, наносимого подразделением, при схватке с Драконами, Чудищами, Гидрами, Дьяволами, Ангелами и Титанами.
"	 COMBAT_SPELL|CREATURE_TARGET
Бешенство	Бешенство	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Бешенство}

Выбранный отряд намеренно уменьшает свою защиту, чтобы увеличить свирепость атаки.
"	"{Основное Бешенство}

Выбранный отряд намеренно уменьшает свою защиту, чтобы увеличить свирепость атаки.
"	"{Продвинутое Бешенство}

Выбранный отряд намеренно уменьшает свою защиту, чтобы увеличить свирепость атаки.

Увеличение силы атаки на 50% больше, чем для Основного Бешенства.
"	"{Бешенство Эксперта}

Выбранный отряд намеренно уменьшает свою защиту, чтобы увеличить свирепость атаки.

Увеличение силы атаки вдвое больше, чем для Основного Бешенства.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Гром титанов	Гром титанов	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Гром Титанов}

Поражает выбранное вражеское подразделение молнией.

(Не зависит от уровня мастерства в магии)
"	"{Гром Титанов}

Поражает выбранное вражеское подразделение молнией.

(Не зависит от уровня мастерства в магии)
"	"{Гром Титанов}

Поражает выбранное вражеское подразделение молнией.

(Не зависит от уровня мастерства в магии)
"	"{Гром Титанов}

Поражает выбранное вражеское подразделение молнией.

(Не зависит от уровня мастерства в магии)
"	
Контрудар	Контрудар	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Контрудар}

Выбранное подразделение будет иметь одну дополнительную атаку в каждом раунде.
"	"{Основной Контрудар}

Выбранное подразделение будет иметь одну дополнительную атаку в каждом раунде.
"	"{Продвинутый Контрудар}

Выбранное подразделение будет иметь две дополнительные атаки в каждом раунде.
"	"{Контрудар Эксперта}

Все дружественные подразделения будут иметь две дополнительных атаки в каждом раунде.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Берсерк	Берсерк	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Берсерк}

Целевое подразделение будет случайным образом атаковать ближайшее подразделение, независимо от того, дружественное оно или вражеское.
"	"{Основной Берсерк}

Целевое подразделение будет случайным образом атаковать ближайшее подразделение, независимо от того, дружественное оно или вражеское.
"	"{Продвинутый Берсерк}

Целевое подразделение будет случайным образом атаковать ближайшее подразделение, независимо от того, дружественное оно или вражеское.

Область действия на шесть клеток больше, чем для Основного Берсерка.
"	"{Берсерк Эксперта}

Целевое подразделение будет случайным образом атаковать ближайшее подразделение, независимо от того, дружественное оно или вражеское.

Область действия на восемнадцать клеток больше, чем для Основного Берсерка.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Гипноз	Гипноз	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Гипноз}

Временно даёт вам контроль над вражеским подразделением.
"	"{Основной Гипноз}

Временно даёт вам контроль над вражеским подразделением.
"	"{Продвинутый Гипноз}

Временно даёт вам контроль над вражеским подразделением.

Позволяет контролировать дополнительные 10 баллов поражения по сравнению с Основным Гипнозом.
"	"{Гипноз Эксперта}

Временно даёт вам контроль над вражеским подразделением.

Позволяет контролировать дополнительные 40 баллов поражения по сравнению с Основным Гипнозом.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Забывчивость	Забывчивость	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Забывчивость}

Половина выбранного вражеского подразделения забывает производить свою атаку на расстоянии.
"	"{Основная Забывчивость}

Половина выбранного вражеского подразделения забывает производить свою атаку  на расстоянии.
"	"{Продвинутая Забывчивость}

Выбранное вражеское подразделение забывает производить свою атаку  на расстоянии.
"	"{Забывчивость Эксперта}

Все вражеские отряды забывают производить атаку на расстоянии в бою.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Слепота	Слепота	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Слепота}

Ослепляет существо, так что оно не может двигаться, и атакует с половиной обычной силы. Слепота сохраняется, пока подразделение не будет атаковано, или заклинание не будет снято.
"	"{Основная Слепота}

Ослепляет существо, так что оно не может двигаться, и атакует с половиной обычной силы. Слепота сохраняется, пока подразделение не будет атаковано, или заклинание не будет снято.
"	"{Продвинутая Слепота}

Ослепляет существо, так что оно не может двигаться, и атакует с четвертью обычной силы. Слепота сохраняется, пока подразделение не будет атаковано, или заклинание не будет снято.
"	"{Слепота Эксперта}

Ослепляет существо, так что оно не может двигаться и контратаковать. Слепота сохраняется, пока подразделение не будет атаковано, или заклинание не будет снято.
"	 COMBAT_SPELL|CREATURE_TARGET
Телепорт	Телепорт	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Телепорт}

Телепортирует любое дружественное подразделение на любую незанятую точку поля битвы.
"	"{Основной Телепорт}

Телепортирует любое дружественное подразделение на любую незанятую точку поля битвы.

Отряды не могут телепортироваться через стены или рвы.
"	"{Продвинутый Телепорт}

Телепортирует любое дружественное подразделение на любую незанятую точку поля битвы.

Отряды не могут телепортироваться через стены.
"	"{Телепорт Эксперта}

Телепортирует любое дружественное подразделение на любую незанятую точку поля битвы.
"	 COMBAT_SPELL|CREATURE_TARGET
Устранение преград	Устранение преград	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Устранение преград}

Удаляет любые обычные препятствия (деревья, скалы и т.п.) по выбору творящего с поля битвы.
"	"{Основное Устранение преград}

Удаляет любые обычные препятствия (деревья, скалы и т.п.) по выбору творящего с поля битвы.
"	"{Продвинутое Устранение преград}

Удаляет любые обычные препятствия (деревья, скалы и т.п.) или огненную стену по выбору творящего с поля битвы.
"	"{Устранение преград Эксперта}

Удаляет любые обычные или магические препятствия по выбору творящего с поля битвы.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Клон	Клон	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Клон}

Создаёт дубликат выбранной группы подразделений. Это наваждение исчезает при атаке.

Клонирует существа уровней 1-5.
"	"{Основной Клон}

Создаёт дубликат выбранной группы подразделений. Это наваждение исчезает при атаке.

Клонирует существа уровней 1-5.
"	"{Продвинутый Клон}

Создаёт дубликат выбранной группы подразделений. Это наваждение исчезает при атаке.

Клонирует существа уровней 1-6.
"	"{Клон Эксперта}

Создаёт дубликат выбранной группы подразделений. Это наваждение исчезает при атаке.

Клонирует существа любых уровней.
"	 COMBAT_SPELL|CREATURE_TARGET
Элементаль огня	Элементаль огня	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Элементаль огня}

Позволяет вызывать элементалей огня.  После сотворения вызывать других элементалей нельзя.
"	"{Основной Элементаль огня}

Позволяет вызывать элементалей огня.  После сотворения вызывать других элементалей нельзя.
"	"{Продвинутый Элементаль огня}

Позволяет вызывать элементалей огня.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в полтора раза больше подразделений, чем Основной Элементаль огня.
"	"{Элементаль огня Эксперта}

Позволяет вызывать элементалей огня.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в два раза больше подразделений, чем Основной Элементаль огня.
"	 COMBAT_SPELL
Элементаль земли	Элементаль земли	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Элементаль земли}

Позволяет вызывать элементалей земли.  После сотворения вызывать других элементалей нельзя.
"	"{Основной Элементаль земли}

Позволяет вызывать элементалей земли.  После сотворения вызывать других элементалей нельзя.
"	"{Продвинутый Элементаль земли}

Позволяет вызывать элементалей земли.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в полтора раза больше подразделений, чем Основной Элементаль земли.
"	"{Элементаль земли Эксперта}

Позволяет вызывать элементалей земли.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в два раза больше подразделений, чем Основной Элементаль земли.
"	 COMBAT_SPELL
Элементаль воды	Элементаль воды	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Элементаль воды}

Позволяет вызывать элементалей воды.  После сотворения вызывать других элементалей нельзя.
"	"{Основной Элементаль воды}

Позволяет вызывать элементалей воды.  После сотворения вызывать других элементалей нельзя.
"	"{Продвинутый Элементаль воды}

Позволяет вызывать элементалей воды.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в полтора раза больше подразделений, чем Основной Элементаль воды.
"	"{Элементаль воды Эксперта}

Позволяет вызывать элементалей воды.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в два раза больше подразделений, чем Основной Элементаль воды.
"	 COMBAT_SPELL
Элементаль воздуха	Элементаль воздуха	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Элементаль воздуха}

Позволяет вызывать элементалей воздуха.  После сотворения вызывать других элементалей нельзя.
"	"{Основной Элементаль воздуха}

Позволяет вызывать элементалей воздуха.  После сотворения вызывать других элементалей нельзя.
"	"{Продвинутый Элементаль воздуха}

Позволяет вызывать элементалей воздуха.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в полтора раза больше подразделений, чем Основной Элементаль воздуха.
"	"{Элементаль воздуха Эксперта}

Позволяет вызывать элементалей воздуха.  После сотворения вызывать других элементалей нельзя.

Вызывает примерно в два раза больше подразделений, чем Основной Элементаль воздуха.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Взгляд, превращающий в камень	Взгляд, превращающий в камень	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Яд	Яд	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Привязка	Привязка	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Болезнь	Болезнь	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Паралич	Паралич	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Старость	Старость	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Облако Смерти	Облако Смерти	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Молния	Молния	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Снятие помогающих заклинаний	Снятие помогающих заклинаний	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Смертельный взгляд	Смертельный взгляд	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Кислотное дыхание	Кислотное дыхание	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
